body_type,sex,diet,how_often_shower,heating_energy_source,transport,vehicle_type,social_activity,monthly_grocery_bill,air_travel_frequency,vehicle_monthly_distance_km,waste_bag_size,waste_bag_weekly_count,tv_pc_daily_hours,new_clothes_monthly,internet_daily_hours,energy_efficiency,recycling,cooking_with,carbon_emission,transport_co2,food_co2,energy_co2,waste_co2,other_co2
normal,male,pescatarian,more frequently,electricity,walk/bicycle,,often,219,frequently,7,extra large,4,23,42,14,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2609,107.243,207.031878,39.912316,518.879,1735.933806
overweight,female,pescatarian,daily,wood,public,,often,104,rarely,948,large,6,1,6,22,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']",1565,-194.20899999999997,101.949248,183.89459999999997,420.37199999999996,1052.993152
underweight,male,vegan,more frequently,electricity,private,petrol,often,126,very frequently,7622,medium,2,6,37,9,Sometimes,[],['Stove'],5272,3583.1922219999997,49.702011999999996,-98.51977099999998,95.374,1642.251537
normal,female,omnivore,more frequently,wood,walk/bicycle,,often,288,never,51,small,4,15,22,6,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1220,-528.5849999999999,359.428456,216.06885199999996,-217.63600000000002,1390.723692
normal,male,vegan,twice a day,electricity,private,electric,often,282,rarely,2237,large,6,0,8,5,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1300,-343.908903,192.24888399999998,-64.49111499999998,283.531,1232.620134
obese,female,pescatarian,less frequently,wood,public,,never,69,rarely,1804,large,1,6,3,7,No,['Metal'],"['Stove', 'Oven', 'Microwave']",1024,-58.10499999999996,69.967578,168.120475,13.135999999999996,830.880947
overweight,male,omnivore,twice a day,wood,walk/bicycle,,sometimes,110,never,85,small,3,14,4,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",706,-523.179,196.77882,190.86841499999997,-359.725,1201.256765
obese,male,vegetarian,daily,coal,private,diesel,often,165,frequently,472,small,4,17,24,20,Yes,"['Paper', 'Glass']",['Microwave'],2582,226.62555200000003,113.01972999999998,356.882742,-80.98,1966.451976
overweight,male,vegan,daily,coal,private,diesel,sometimes,62,very frequently,5737,medium,1,5,20,20,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",4284,2180.716292,-8.778756000000001,350.63906999999995,-266.34400000000005,2027.7673940000004
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,94,rarely,88,medium,6,17,0,3,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",807,-336.27599999999995,92.811628,-70.77966699999998,87.20899999999997,1034.0350389999999
underweight,female,vegan,daily,electricity,public,,often,259,frequently,558,large,4,4,50,23,Sometimes,['Metal'],"['Oven', 'Grill', 'Airfryer']",1991,200.179,171.23235799999998,13.698895,260.957,1344.932747
obese,male,vegetarian,less frequently,electricity,public,,sometimes,67,rarely,752,large,3,14,37,14,Sometimes,['Plastic'],['Stove'],1817,-225.373,23.471054000000002,-86.847438,255.52399999999997,1850.225384
obese,male,pescatarian,daily,wood,walk/bicycle,,never,130,rarely,71,small,2,10,15,10,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",1490,-338.979,125.70706,205.81982999999997,-103.73899999999999,1601.19111
underweight,female,omnivore,less frequently,electricity,public,,never,258,frequently,1028,small,2,13,44,4,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1561,274.909,332.015596,-131.068514,-240.39499999999998,1325.538918
obese,female,vegan,more frequently,wood,public,,sometimes,189,frequently,1527,medium,4,23,34,10,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2202,354.25,107.269018,170.397808,40.773999999999944,1529.309174
underweight,female,vegetarian,daily,coal,walk/bicycle,,sometimes,262,frequently,88,large,5,24,8,15,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",2024,120.122,201.654644,403.39099899999997,480.21999999999997,818.612357
normal,female,pescatarian,daily,natural gas,walk/bicycle,,never,157,frequently,73,medium,4,1,42,22,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1659,117.737,150.378634,297.39559999999994,-101.68100000000005,1195.169766
normal,female,pescatarian,daily,wood,private,lpg,often,280,very frequently,8320,small,5,9,0,4,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3911,3057.1209199999994,262.77135999999996,151.099262,-51.87100000000004,491.8794580000008
normal,male,vegetarian,twice a day,coal,walk/bicycle,,sometimes,121,never,72,medium,6,11,4,10,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1204,-525.246,72.814202,354.339136,205.988,1096.104662
underweight,female,vegan,less frequently,coal,walk/bicycle,,often,174,very frequently,9,large,2,1,40,15,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2431,769.0100000000001,93.56258799999999,298.690961,-52.69600000000001,1322.4324509999997
obese,male,vegetarian,daily,electricity,walk/bicycle,,sometimes,173,frequently,60,medium,2,16,14,20,Sometimes,"['Plastic', 'Glass']",[],1640,115.67,120.329826,-55.52756400000001,-47.266000000000005,1506.793738
underweight,male,vegan,twice a day,natural gas,walk/bicycle,,sometimes,199,frequently,13,medium,5,17,6,15,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1648,108.197,116.406638,310.971857,-19.074000000000083,1131.498505
underweight,male,omnivore,less frequently,wood,walk/bicycle,,never,94,rarely,32,small,6,15,5,17,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1002,-345.17999999999995,182.158628,189.54399899999999,90.03299999999996,885.444373
underweight,female,pescatarian,less frequently,coal,walk/bicycle,,never,64,frequently,49,small,1,19,47,16,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1771,113.92099999999999,65.398768,426.517846,-245.82799999999997,1410.990386
overweight,female,omnivore,twice a day,electricity,public,,never,100,very frequently,1351,extra large,1,20,24,5,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2028,987.715,187.6412,-91.32999499999998,-14.03700000000002,958.0107950000001
normal,female,vegetarian,more frequently,coal,public,,often,240,very frequently,1726,medium,2,15,19,5,No,"['Glass', 'Metal']","['Stove', 'Oven']",2540,1047.3400000000001,181.55187999999998,405.84647500000005,-124.44000000000001,1029.7016449999999
underweight,female,omnivore,daily,electricity,public,,sometimes,245,never,1021,medium,7,14,48,10,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1386,-369.02799999999996,320.13669,6.155054000000014,146.13999999999993,1282.596256
normal,female,pescatarian,daily,coal,walk/bicycle,,sometimes,270,rarely,62,small,5,22,21,11,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1679,-340.40999999999997,253.63374,439.59787900000003,167.75799999999998,1158.420381
overweight,male,omnivore,daily,wood,private,electric,often,294,very frequently,9488,small,5,16,20,18,Yes,['Glass'],[],3141,779.601128,364.911028,133.14568200000002,144.082,1719.260162
normal,male,vegetarian,more frequently,wood,public,,never,87,very frequently,1037,large,4,0,11,24,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2627,937.7890000000001,41.746294,351.095048,195.676,1100.693658
underweight,male,pescatarian,less frequently,wood,private,electric,never,209,never,9555,large,2,13,43,3,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1188,-524.6195449999999,197.894258,96.80710900000001,-129.87,1547.7881779999998
underweight,male,pescatarian,twice a day,electricity,private,diesel,never,124,never,9031,extra large,5,1,11,5,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",3174,1685.1729960000002,120.22448800000001,-147.625809,458.846,1057.3823249999996
overweight,female,vegetarian,more frequently,natural gas,public,,sometimes,276,frequently,1461,large,7,19,5,12,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2327,343.756,214.44731199999998,268.73033799999996,508.77799999999996,991.28835
overweight,female,vegan,daily,wood,walk/bicycle,,never,90,very frequently,39,medium,3,22,7,9,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1822,773.7800000000001,16.806579999999997,163.315125,-160.61200000000002,1028.7102949999999
obese,female,vegan,less frequently,natural gas,private,diesel,sometimes,136,never,5033,medium,6,0,43,24,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2665,703.6000280000002,58.839631999999995,256.665048,87.20899999999997,1558.6862919999996
underweight,male,vegan,daily,electricity,public,,sometimes,246,frequently,1065,extra large,4,22,43,7,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2129,280.79200000000003,159.353452,-52.87962899999998,322.74100000000004,1418.9931769999998
normal,male,pescatarian,less frequently,wood,public,,often,94,rarely,927,medium,5,18,10,21,Yes,"['Paper', 'Glass']",['Oven'],1425,-197.54799999999997,92.811628,193.975425,117.58199999999992,1218.178947
overweight,male,vegetarian,more frequently,electricity,private,hybrid,never,253,frequently,2277,large,1,0,11,20,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove'],1690,479.955273,193.43078599999998,-34.72145999999999,-212.47700000000003,1263.8124010000001
obese,female,omnivore,more frequently,natural gas,walk/bicycle,,never,200,rarely,97,medium,7,13,18,0,Sometimes,['Metal'],"['Stove', 'Microwave']",1717,-334.84499999999997,279.0174,91.674978,371.753,1309.399622
normal,male,vegan,less frequently,coal,private,lpg,sometimes,281,frequently,7272,large,2,4,38,5,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",4060,2107.858632,191.33512199999996,309.410109,6.785999999999987,1444.6101370000001
obese,female,vegetarian,less frequently,electricity,private,petrol,sometimes,82,rarely,5260,extra large,3,14,18,17,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",3262,1594.23726,37.177484,46.68669300000001,293.63199999999995,1290.2665629999997
overweight,female,pescatarian,more frequently,coal,public,,often,73,rarely,1750,extra large,1,9,30,12,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1674,-66.69099999999997,73.622626,417.11327800000004,45.44499999999998,1204.510096
obese,male,vegetarian,daily,natural gas,private,hybrid,often,246,frequently,2998,small,4,0,36,3,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave']",3135,596.864702,187.034452,91.382131,7.977000000000004,2251.741715
underweight,male,pescatarian,less frequently,natural gas,private,lpg,sometimes,98,rarely,9147,extra large,5,1,49,20,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4465,2166.393757,96.466676,162.62284599999998,458.846,1580.670721
overweight,male,pescatarian,twice a day,electricity,public,,never,256,rarely,1947,extra large,3,23,33,8,Sometimes,[],['Stove'],1984,-35.367999999999995,240.841072,-73.80594599999999,436.272,1416.060874
overweight,female,vegetarian,less frequently,electricity,private,lpg,often,287,very frequently,4885,large,1,21,21,3,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3246,2113.763435,224.49869399999997,-137.083443,-46.346000000000004,1091.1673140000003
obese,female,omnivore,daily,electricity,walk/bicycle,,never,63,frequently,20,large,4,1,6,14,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1351,109.31,153.832006,13.242584,-24.13800000000002,1098.75341
obese,male,vegetarian,less frequently,coal,walk/bicycle,,often,158,never,23,extra large,1,24,33,2,No,['Glass'],['Stove'],1929,-533.0369999999999,106.62339599999999,319.013098,187.89999999999998,1848.5005059999999
obese,male,omnivore,twice a day,electricity,walk/bicycle,,often,241,frequently,34,large,5,24,15,10,Yes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2719,111.536,316.48164199999997,-27.67788599999996,480.21999999999997,1838.440244
obese,female,vegetarian,twice a day,coal,walk/bicycle,,never,176,frequently,59,large,1,11,41,19,Yes,['Paper'],"['Stove', 'Oven']",2336,115.511,123.071112,419.18552900000003,7.336999999999989,1670.895359
normal,female,vegetarian,less frequently,wood,public,,often,189,never,682,small,6,0,35,3,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1270,-422.929,134.950018,79.00013100000001,226.68899999999996,1252.289851
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,,often,214,never,10,large,6,20,12,24,Yes,['Glass'],"['Stove', 'Microwave']",1803,-535.1039999999999,157.79406799999998,204.204168,479.669,1496.436764
normal,female,vegan,daily,electricity,walk/bicycle,,sometimes,264,very frequently,10,medium,1,7,22,17,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1816,769.1690000000001,175.80116799999996,-11.604448999999995,-212.846,1095.480281
normal,male,omnivore,twice a day,coal,private,petrol,sometimes,213,never,7964,small,1,16,43,9,No,"['Paper', 'Plastic']","['Stove', 'Oven']",4638,2405.049164,290.896306,427.3292890000001,-305.125,1819.8502409999996
underweight,female,omnivore,twice a day,coal,private,hybrid,often,281,rarely,3606,small,3,16,8,22,Sometimes,"['Plastic', 'Metal']",['Stove'],1909,239.053294,353.03212199999996,440.83919000000003,-134.112,1010.1873939999999
normal,male,vegan,less frequently,natural gas,public,,sometimes,280,frequently,536,large,2,2,30,1,Yes,['Plastic'],['Oven'],2021,196.68099999999998,190.42136,4.792989000000006,172.917,1456.187651
normal,male,omnivore,more frequently,natural gas,public,,never,125,rarely,1564,large,5,4,15,23,No,['Metal'],"['Oven', 'Microwave']",1896,-96.26499999999996,210.48525,287.16589500000003,343.56399999999996,1151.049855
obese,male,vegan,daily,electricity,walk/bicycle,,never,188,frequently,78,small,4,11,21,3,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",1770,118.532,106.35525599999998,-76.622503,2.1779999999999973,1619.557247
normal,female,omnivore,daily,wood,walk/bicycle,,often,251,never,98,small,1,12,47,3,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1323,-521.112,325.619262,119.592803,-441.781,1840.6809349999999
normal,female,pescatarian,daily,wood,public,,never,285,very frequently,1820,small,1,21,24,9,Yes,['Plastic'],"['Grill', 'Airfryer']",2269,1062.286,267.34017,114.22181900000001,-162.67,987.822011
obese,male,vegan,more frequently,wood,public,,never,234,never,243,extra large,4,20,36,5,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1918,-492.72999999999996,148.388308,186.894005,239.58300000000003,1835.864687
overweight,female,vegan,daily,natural gas,public,,sometimes,91,very frequently,1586,small,7,8,43,2,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",2477,1025.0800000000002,17.720341999999988,71.606202,53.86100000000005,1308.7324559999997
normal,female,omnivore,daily,natural gas,walk/bicycle,,never,118,frequently,11,large,3,6,10,16,No,['Paper'],"['Stove', 'Oven']",1444,107.87899999999999,204.08891599999998,223.57886799999997,172.55099999999996,735.9022160000002
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,,never,75,never,72,small,5,15,42,16,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1254,-525.246,30.781150000000004,223.97462199999995,-57.85500000000003,1582.3452280000001
overweight,male,vegetarian,more frequently,electricity,public,,never,134,never,1157,small,5,19,35,10,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",1411,-347.404,84.693108,26.71158400000001,144.082,1502.917308
underweight,male,pescatarian,daily,wood,public,,often,282,never,1380,extra large,4,7,11,8,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1605,-311.94699999999995,264.598884,140.347158,376.23900000000003,1135.761958
obese,male,vegetarian,less frequently,electricity,private,lpg,often,110,never,5765,medium,5,7,2,18,No,['Paper'],"['Stove', 'Oven']",3054,1051.1657149999996,62.76282,3.7589280000000187,200.73999999999992,1735.5725370000005
overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,never,202,very frequently,92,extra large,6,9,16,14,Yes,[],"['Grill', 'Airfryer']",2902,782.2070000000001,146.828924,103.523032,684.093,1185.3480439999998
overweight,male,pescatarian,less frequently,electricity,private,lpg,never,56,frequently,7797,large,7,22,8,15,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",4301,2252.039907,58.088671999999995,-48.43561299999997,502.794,1536.5130340000005
normal,female,vegan,twice a day,electricity,walk/bicycle,,often,223,very frequently,50,small,3,12,35,22,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2308,775.5290000000001,138.336926,28.674966000000005,2.544000000000011,1362.9151079999997
normal,female,vegetarian,more frequently,wood,private,petrol,often,202,frequently,7629,medium,1,17,37,2,No,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",4132,2924.324829,146.828924,155.920956,-266.529,1171.454291
overweight,male,vegetarian,daily,wood,private,petrol,sometimes,114,frequently,2367,medium,3,1,41,23,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",2993,983.6939669999999,66.417868,269.14997700000004,-184.288,1858.026188
overweight,female,omnivore,daily,wood,private,petrol,often,141,frequently,3960,medium,1,7,21,1,Yes,"['Paper', 'Plastic']",[],3098,1571.1939599999998,225.10544199999998,-9.823480999999997,-189.17000000000002,1500.694079
overweight,female,vegan,twice a day,coal,walk/bicycle,,sometimes,236,rarely,42,extra large,2,19,15,10,Yes,"['Plastic', 'Metal']",[],1364,-343.59,150.21583199999998,304.931584,157.527,1094.915584
normal,female,omnivore,daily,coal,private,lpg,sometimes,95,rarely,6455,large,1,15,31,14,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2941,1427.0871049999998,183.07238999999998,367.95586799999995,-135.303,1098.187637
overweight,female,vegetarian,more frequently,electricity,walk/bicycle,,never,249,frequently,41,large,4,6,2,4,Sometimes,['Paper'],['Microwave'],1349,112.649,189.775738,-149.60565599999998,255.158,941.022918
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,often,213,never,71,medium,1,24,17,16,Yes,"['Plastic', 'Glass']",['Microwave'],1038,-525.405,201.549306,140.639376,-129.873,1351.0893179999998
obese,male,vegetarian,twice a day,wood,walk/bicycle,,never,81,never,39,medium,7,16,31,15,No,"['Plastic', 'Glass']",[],1815,-530.4929999999999,36.263721999999994,203.612551,365.769,1739.8477269999998
overweight,female,vegetarian,more frequently,coal,walk/bicycle,,never,91,very frequently,50,extra large,1,13,29,24,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2566,775.5290000000001,45.40134199999999,579.5650260000001,51.24399999999997,1114.2606319999998
overweight,female,vegan,twice a day,wood,private,electric,sometimes,291,very frequently,8707,medium,3,2,23,23,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2439,778.991167,200.47274199999998,271.16228300000006,-101.31500000000001,1289.6888079999999
obese,female,pescatarian,twice a day,electricity,private,lpg,sometimes,70,very frequently,167,small,2,9,7,20,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",2056,818.054377,70.88134,-10.448705999999966,-216.719,1394.2319889999999
overweight,female,pescatarian,more frequently,natural gas,public,,often,89,very frequently,631,medium,7,2,0,18,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2299,873.2350000000001,88.242818,200.63439799999998,86.65799999999996,1050.229784
overweight,male,vegan,twice a day,electricity,public,,never,121,rarely,194,large,6,15,16,18,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1492,-314.09499999999997,45.133202,11.065376000000029,366.689,1383.207422
underweight,female,omnivore,daily,coal,walk/bicycle,,often,198,rarely,46,medium,1,12,45,17,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",1692,-342.95399999999995,277.18987599999997,434.5530810000001,-272.32800000000003,1595.539043
obese,male,vegetarian,more frequently,wood,walk/bicycle,,never,234,frequently,37,extra large,3,15,29,3,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",2581,112.01299999999999,176.06930799999998,101.10072100000001,293.817,1897.999971
overweight,male,vegetarian,less frequently,wood,walk/bicycle,,sometimes,84,rarely,31,large,2,0,1,1,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']",950,-345.339,39.005008,28.971377000000004,12.58499999999998,1214.777615
normal,male,vegan,twice a day,coal,private,lpg,often,182,never,2880,small,5,10,9,1,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1923,258.8552799999999,100.87268399999998,338.186437,-57.85500000000003,1282.940599
overweight,female,pescatarian,less frequently,wood,walk/bicycle,,often,275,never,6,extra large,2,19,49,19,Yes,['Paper'],['Stove'],1751,-535.74,258.20255,163.83797699999997,211.20999999999995,1653.489473
underweight,female,pescatarian,more frequently,coal,walk/bicycle,,sometimes,228,very frequently,40,small,6,1,35,7,Sometimes,['Glass'],"['Stove', 'Microwave']",2562,773.9390000000001,215.25573599999998,317.149945,226.68899999999996,1028.966319
overweight,male,vegan,more frequently,wood,walk/bicycle,,never,140,frequently,1,large,6,9,24,24,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2456,106.289,62.49467999999999,347.327802,360.89,1578.9985179999999
overweight,female,vegetarian,more frequently,electricity,public,,sometimes,232,never,1341,extra large,1,22,8,1,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",657,-318.14799999999997,174.241784,-72.72289099999998,-8.238,881.8671069999999
normal,female,pescatarian,twice a day,electricity,public,,often,115,very frequently,393,small,3,21,13,9,No,"['Paper', 'Metal']","['Stove', 'Microwave']",1758,835.393,112.00063,-26.21218099999996,-217.085,1053.9035509999999
obese,female,vegan,daily,natural gas,public,,never,157,frequently,191,medium,4,2,44,12,Sometimes,"['Plastic', 'Glass']",['Microwave'],2184,141.826,78.028634,90.79713600000001,117.94799999999996,1755.40023
obese,female,pescatarian,twice a day,coal,public,,sometimes,156,very frequently,131,extra large,1,14,20,23,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3009,793.735,149.464872,565.4259550000002,45.44499999999998,1454.9291729999998
underweight,male,omnivore,daily,wood,private,diesel,often,252,very frequently,1419,large,5,8,43,20,Yes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",3748,1120.578204,326.533024,204.960988,337.5799999999999,1758.347784
normal,female,vegan,daily,electricity,private,electric,never,162,rarely,9159,small,7,2,26,16,No,[],['Microwave'],1122,-338.502821,82.59744399999998,-72.69535599999998,392.45400000000006,1058.146733
obese,male,vegetarian,daily,wood,private,hybrid,never,145,never,8016,small,3,21,14,16,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",2810,767.704384,94.74448999999998,252.38145799999998,-134.112,1829.281668
overweight,female,omnivore,daily,electricity,walk/bicycle,,never,214,never,87,medium,3,24,32,23,No,['Plastic'],['Microwave'],1346,-522.861,291.810068,30.598015000000018,118.499,1427.953917
underweight,female,vegan,twice a day,natural gas,walk/bicycle,,never,126,rarely,3,small,5,15,3,12,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",671,-349.791,49.702011999999996,174.28411400000002,-111.35300000000004,908.157874
